Track,Artist,Album,Release_Year,Duration,Time_Signature,Danceability,Energy,Track_Key,Loudness,Song_Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Popularity,Popularity_Category,Energy_Range,Danceability_Range,Loudness_Range,Liveness_Range
Dirt Road Anthem,Jason Aldean,My Kinda Party,2011,229400,4,1.0,1.0,2,-5.0,1,0.0,0.0,0.0,0.0,1.0,127.0,72,Medium,High,High,High,Low
Ditto,NewJeans,Ditto,2022,185506,4,1.0,1.0,6,-6.0,0,0.0,0.0,0.0,0.0,0.0,134.0,78,Medium,High,High,High,Low
Do You Miss Me?,PinkPantheress,Do you miss me?,2023,128853,4,1.0,1.0,11,-7.0,0,0.0,0.0,0.0,0.0,1.0,130.0,56,Medium,High,High,High,Low
Do You...,Miguel,Kaleidoscope Dream,2015,207920,4,1.0,1.0,11,-6.0,1,0.0,0.0,0.0,0.0,0.0,148.0,47,Low,High,High,High,Low
DOLLAZ ON MY HEAD (feat. Young Thug),Gunna,WUNNA,2021,197760,4,1.0,0.0,0,-7.0,1,0.0,0.0,0.0,0.0,0.0,145.0,68,Medium,Low,High,High,Low
Don't Start Now,Dua Lipa,Future Nostalgia,2019,183290,4,1.0,1.0,11,-5.0,0,0.0,0.0,0.0,0.0,1.0,124.0,84,High,High,High,High,Low
Don't Stop The Music,Rihanna,Good Girl Gone Bad,2007,267080,4,1.0,1.0,6,-6.0,0,0.0,0.0,0.0,0.0,1.0,123.0,71,Medium,High,High,High,Low
Double Back,Coco Jones,What I Didn?t Tell You (Deluxe),2023,159244,4,1.0,1.0,4,-5.0,0,0.0,0.0,0.0,0.0,0.0,80.0,55,Medium,High,High,High,Low
Dreamers [Music from the FIFA World Cup Qatar 2022 Official Soundtrack],Jung Kook,Dreamers [Music from the FIFA World Cup Qatar 2022 Official Soundtrack],2022,201391,4,1.0,1.0,0,-4.0,1,0.0,0.0,0.0,0.0,0.0,115.0,71,Medium,High,High,High,Low
Drip (feat. Migos),Cardi B,Invasion of Privacy,2018,262308,4,1.0,1.0,11,-8.0,1,0.0,0.0,0.0,0.0,0.0,130.0,54,Medium,High,High,High,Low
drivers license,Olivia Rodrigo,SOUR,2021,242013,4,1.0,0.0,10,-9.0,1,0.0,1.0,0.0,0.0,0.0,144.0,83,High,Low,High,High,Low
Drunk in Love (feat. Jay-Z),Beyoncï¿½,BEYONCï¿½ [Platinum Edition],2013,323480,4,1.0,1.0,5,-7.0,0,0.0,0.0,0.0,0.0,0.0,140.0,71,Medium,High,High,High,Low
Dumebi,Rema,Rema,2019,179775,4,1.0,1.0,3,-5.0,0,0.0,0.0,0.0,0.0,1.0,110.0,65,Medium,High,High,High,Low
Earned It (Fifty Shades Of Grey),The Weeknd,Beauty Behind The Madness,2015,277680,3,1.0,0.0,2,-8.0,0,0.0,0.0,0.0,0.0,0.0,120.0,72,Medium,Low,High,High,Low
El Belicon,Peso Pluma,El Belicï¿½n,2023,214397,3,0.0,1.0,8,-7.0,1,0.0,0.0,0.0,0.0,1.0,97.0,67,Medium,High,Low,High,Low
EL MAKINON,KAROL G,KG0516,2021,209160,4,1.0,1.0,5,-3.0,0,0.0,0.0,0.0,0.0,0.0,89.0,74,Medium,High,High,High,Low
Empire,Shakira,Shakira. (Expanded Edition),2014,239333,4,1.0,1.0,0,-5.0,0,0.0,1.0,0.0,0.0,0.0,80.0,45,Low,High,High,High,Low
enough for you,Olivia Rodrigo,SOUR,2021,202826,4,1.0,0.0,7,-11.0,1,0.0,1.0,0.0,0.0,0.0,88.0,75,Medium,Low,High,Medium,Low
Esa Nena,Yng Lvcas,Esa Nena,2023,197647,4,1.0,1.0,0,-5.0,0,0.0,0.0,0.0,0.0,1.0,170.0,47,Low,High,High,High,Low
Escapism.,RAYE,My 21st Century Blues,2023,272373,4,1.0,1.0,2,-5.0,1,0.0,0.0,0.0,0.0,0.0,96.0,78,Medium,High,High,High,Low
Espresso,Sabrina Carpenter,Espresso,2023,175459,4,1.0,1.0,0,-5.0,1,0.0,0.0,0.0,0.0,1.0,104.0,98,High,High,High,High,Low
Evangeline,Stephen Sanchez,Angel Face,2022,177677,4,0.0,1.0,3,-7.0,1,0.0,0.0,0.0,0.0,0.0,109.0,66,Medium,High,Low,High,Low
everything i wanted,Billie Eilish,everything i wanted,2019,245425,4,1.0,0.0,6,-14.0,0,0.0,1.0,1.0,0.0,0.0,120.0,82,High,Low,High,Medium,Low
Everything to Lose,Old Dominion,Old Dominion,2022,190680,4,1.0,1.0,7,-5.0,1,0.0,1.0,0.0,0.0,1.0,172.0,31,Low,High,High,High,Low
Extssy Model,Junior H,Mi Vida En Un Cigarro 2,2023,240654,3,1.0,1.0,4,-5.0,0,0.0,0.0,0.0,0.0,0.0,93.0,81,High,High,High,High,Low
Fall In Love,Bailey Zimmerman,Religiously. The Album.,2023,232058,4,1.0,1.0,9,-6.0,1,0.0,0.0,0.0,0.0,0.0,136.0,75,Medium,High,High,High,Low
Falling,Harry Styles,Fine Line,2020,240133,4,1.0,0.0,4,-7.0,1,0.0,1.0,0.0,0.0,0.0,110.0,79,Medium,Low,High,High,Low
False Prophets,J. Cole,False Prophets,2016,237426,4,1.0,1.0,8,-10.0,0,0.0,1.0,0.0,0.0,1.0,90.0,55,Medium,High,High,High,Low
Fantasy (feat. Don Toliver),Kali Uchis,Red Moon In Venus,2022,178274,4,1.0,1.0,6,-6.0,1,0.0,0.0,0.0,0.0,0.0,104.0,66,Medium,High,High,High,Low
favorite crime,Olivia Rodrigo,SOUR,2021,152666,4,0.0,0.0,9,-10.0,1,0.0,1.0,0.0,0.0,0.0,173.0,83,High,Low,Low,High,Low
Favorite Song,Toosii,NAUJOUR,2022,204000,4,1.0,0.0,2,-9.0,1,0.0,0.0,0.0,0.0,0.0,116.0,66,Medium,Low,High,High,Low
Favorite Song (feat. Future) [Toxic Version],Toosii,Favorite Song (feat. Future) [Toxic Version],2022,208621,4,1.0,0.0,2,-9.0,1,0.0,0.0,0.0,0.0,0.0,116.0,48,Low,Low,High,High,Low
Final Warning,NLE Choppa,Final Warning,2021,156894,4,1.0,1.0,11,-3.0,1,0.0,0.0,0.0,0.0,1.0,81.0,62,Medium,High,High,High,Low
Fine China,Chris Brown,X (Expanded Edition),2019,213200,4,1.0,1.0,10,-5.0,0,0.0,0.0,0.0,0.0,1.0,104.0,61,Medium,High,High,High,Low
Flowers,Miley Cyrus,Endless Summer Vacation,2023,200600,4,1.0,1.0,0,-5.0,1,0.0,0.0,0.0,0.0,1.0,118.0,88,High,High,High,High,Low
Fly,Nicki Minaj,Pink Friday,2010,212920,4,1.0,1.0,10,-5.0,1,0.0,0.0,0.0,0.0,0.0,120.0,60,Medium,High,High,High,Low
Forever,Chris Brown,Forever,2019,278573,4,1.0,1.0,11,-4.0,1,0.0,0.0,0.0,0.0,0.0,120.0,76,Medium,High,High,High,Low
Forever,Noah Kahan,Stick Season (Forever),2023,268353,4,0.0,0.0,0,-11.0,1,0.0,1.0,0.0,0.0,0.0,94.0,77,Medium,Low,Low,Medium,Low
Forever After All,Luke Combs,What You See Ain't Always What You Get (Deluxe Edition),2020,232533,4,0.0,1.0,0,-5.0,1,0.0,0.0,0.0,0.0,0.0,152.0,77,Medium,High,Low,High,Low
Forever To Me,Cole Swindell,Forever To Me,2019,179666,4,1.0,1.0,10,-8.0,1,0.0,0.0,0.0,0.0,0.0,154.0,60,Medium,High,High,High,Low
Formation,Beyoncï¿½,Lemonade,2016,206080,4,1.0,1.0,5,-7.0,0,0.0,0.0,0.0,0.0,1.0,122.0,68,Medium,High,High,High,Low
Fuk You Mean,Toosii,Fuk You Mean,2022,176363,4,1.0,0.0,3,-11.0,0,0.0,1.0,0.0,0.0,0.0,132.0,62,Medium,Low,High,Medium,Low
Future Starts Now,Kim Petras,Future Starts Now,2022,279270,4,1.0,1.0,6,-4.0,1,0.0,0.0,0.0,0.0,0.0,120.0,46,Low,High,High,High,Low
Galway Girl,Ed Sheeran,ï¿½ (Deluxe),2017,170826,4,1.0,1.0,9,-3.0,1,0.0,0.0,0.0,0.0,1.0,100.0,77,Medium,High,High,High,Low
Garden (Say It Like Dat),SZA,Ctrl,2017,208400,4,1.0,0.0,9,-7.0,1,0.0,0.0,0.0,0.0,1.0,111.0,68,Medium,Low,High,High,Low
GATï¿½BELA,KAROL G,GATï¿½BELA,2022,209160,4,1.0,1.0,11,-3.0,0,0.0,0.0,0.0,0.0,0.0,93.0,71,Medium,High,High,High,Low
GATITA GANGSTER,KAROL G,MAï¿½ANA SERï¿½ BONITO (BICHOTA SEASON),2023,170920,4,1.0,1.0,10,-5.0,0,0.0,0.0,0.0,0.0,1.0,97.0,75,Medium,High,High,High,Low
Get to Gettin? Gone,Bailey Zimmerman,Religiously. The Album.,2022,182465,4,1.0,1.0,6,-7.0,1,0.0,0.0,0.0,0.0,1.0,146.0,64,Medium,High,High,High,Low
Get Up,NewJeans,NewJeans 2nd EP 'Get Up',2023,36226,3,1.0,1.0,5,-7.0,1,0.0,1.0,0.0,0.0,1.0,85.0,71,Medium,High,High,High,Low
Ginger Me,Rema,Ginger Me,2023,205892,5,1.0,1.0,8,-8.0,0,0.0,0.0,0.0,0.0,1.0,200.0,49,Low,High,High,High,Low
GIVE HEAVEN SOME HELL,HARDY,A ROCK,2021,217801,4,1.0,1.0,11,-5.0,1,0.0,0.0,0.0,0.0,1.0,126.0,70,Medium,High,High,High,Low
Giza,Natanael Cano,Giza,2021,177580,3,1.0,1.0,5,-5.0,0,0.0,0.0,0.0,0.0,1.0,124.0,83,High,High,High,High,Low
God is a woman,Ariana Grande,Sweetener,2018,197546,4,1.0,1.0,1,-6.0,1,0.0,0.0,0.0,0.0,0.0,145.0,75,Medium,High,High,High,Low
God Speed,Zach Bryan,DeAnn,2022,253359,4,1.0,0.0,0,-15.0,1,0.0,1.0,0.0,0.0,0.0,79.0,71,Medium,Low,High,Medium,Low
Golden,Harry Styles,Fine Line,2020,208906,4,0.0,1.0,4,-5.0,0,0.0,0.0,0.0,0.0,0.0,140.0,74,Medium,High,Low,High,Low
golden hour,JVKE,this is what falling in love feels like (554Hz),2021,209259,3,1.0,1.0,4,-5.0,1,0.0,1.0,0.0,0.0,0.0,94.0,77,Medium,High,High,High,Low
good 4 u,Olivia Rodrigo,SOUR,2021,178146,4,1.0,1.0,9,-5.0,1,0.0,0.0,0.0,0.0,1.0,167.0,83,High,High,High,High,Low
Good as Hell,Lizzo,Cuz I Love You (Super Deluxe),2016,159735,4,1.0,1.0,0,-3.0,0,0.0,0.0,0.0,0.0,1.0,96.0,70,Medium,High,High,High,Low
Good as You,Kane Brown,Experiment Extended,2018,192053,4,1.0,1.0,8,-6.0,1,0.0,0.0,0.0,0.0,1.0,154.0,62,Medium,High,High,High,Low
Good Days,SZA,Good Days,2020,279204,4,0.0,1.0,1,-8.0,0,0.0,0.0,0.0,1.0,0.0,121.0,76,Medium,High,Low,High,High
Good For You,Selena Gomez,Revival (Deluxe),2015,221280,4,1.0,1.0,5,-6.0,0,0.0,0.0,0.0,0.0,0.0,89.0,62,Medium,High,High,High,Low
Good To Be Alive,Meghan Trainor,The Peanuts Movie - Original Motion Picture Soundtrack,2016,228360,4,1.0,1.0,10,-5.0,1,0.0,0.0,0.0,0.0,1.0,200.0,48,Low,High,High,High,Low
Goodbye in Her Eyes,Zac Brown Band,Uncaged,2012,324266,4,0.0,1.0,3,-7.0,1,0.0,0.0,0.0,0.0,0.0,81.0,54,Medium,High,Low,High,Low
Great Gatsby,Rod Wave,Nostalgia,2022,146751,4,1.0,1.0,1,-9.0,0,0.0,0.0,0.0,0.0,0.0,157.0,69,Medium,High,High,High,Low
Hair Salon,Megan Moroney,Pistol Made of Roses,2023,224581,4,0.0,1.0,10,-6.0,1,0.0,0.0,0.0,0.0,0.0,138.0,59,Medium,High,Low,High,Low
Halo,Beyoncï¿½,I AM...SASHA FIERCE,2008,261640,4,1.0,1.0,11,-6.0,0,0.0,0.0,0.0,0.0,0.0,80.0,72,Medium,High,High,High,Low
Handle On You,Parker McCollum,Never Enough,2023,219967,4,1.0,1.0,6,-4.0,1,0.0,0.0,0.0,0.0,1.0,105.0,67,Medium,High,High,High,Low
Hands To Myself,Selena Gomez,Revival (Deluxe),2016,200680,4,1.0,1.0,5,-7.0,0,0.0,0.0,0.0,0.0,0.0,111.0,63,Medium,High,High,High,Low
Hang Tight Honey,Lainey Wilson,Hang Tight Honey,2023,189786,4,0.0,1.0,0,-5.0,1,0.0,0.0,0.0,1.0,1.0,172.0,69,Medium,High,Low,High,High
Happier,Ed Sheeran,ï¿½ (Deluxe),2018,207520,4,1.0,0.0,0,-7.0,1,0.0,1.0,0.0,0.0,0.0,90.0,75,Medium,Low,High,High,Low
happier,Olivia Rodrigo,SOUR,2021,175933,3,0.0,0.0,6,-10.0,1,0.0,1.0,0.0,0.0,0.0,169.0,82,High,Low,Low,High,Low
HASTA LA MUERTE,Eslabon Armado,NOSTALGIA,2022,209902,3,1.0,1.0,11,-4.0,1,0.0,0.0,0.0,0.0,0.0,170.0,74,Medium,High,High,High,Low
Hate CD,Steve Lacy,Apollo XXI,2022,160182,4,1.0,1.0,0,-7.0,1,0.0,0.0,0.0,0.0,1.0,108.0,49,Low,High,High,High,Low
Heading South,Zach Bryan,Heading South,2020,171692,4,1.0,0.0,4,-14.0,1,0.0,1.0,0.0,0.0,0.0,110.0,86,High,Low,High,Medium,Low
Heart Like A Truck,Lainey Wilson,Bell Bottom Country,2022,199040,4,1.0,1.0,9,-5.0,1,0.0,0.0,0.0,0.0,0.0,140.0,73,Medium,High,High,High,Low
Heart On Ice,Rod Wave,PTSD,2020,159669,3,1.0,0.0,10,-8.0,0,0.0,0.0,0.0,0.0,0.0,158.0,68,Medium,Low,High,High,Low
Heart to Break,Kim Petras,Heart to Break,2018,225972,4,1.0,1.0,11,-5.0,1,0.0,0.0,0.0,0.0,1.0,109.0,56,Medium,High,High,High,Low
Heartless,The Weeknd,After Hours,2019,198266,4,1.0,1.0,10,-6.0,0,0.0,0.0,0.0,0.0,0.0,170.0,77,Medium,High,High,High,Low
Heaven,Kane Brown,Kane Brown (Deluxe Edition),2018,179506,4,1.0,1.0,9,-7.0,1,0.0,0.0,0.0,0.0,1.0,80.0,71,Medium,High,High,High,Low
Hell of a Year,Parker McCollum,Probably Wrong,2022,232653,4,1.0,0.0,0,-8.0,0,0.0,0.0,0.0,0.0,0.0,98.0,68,Medium,Low,High,High,Low
Here We Go (Uh Oh),Coco Jones,Here We Go (Uh Oh),2023,216507,3,0.0,1.0,3,-2.0,0,0.0,0.0,0.0,0.0,0.0,177.0,65,Medium,High,Low,High,Low
Here With Me,d4vd,Petals to Thorns,2022,242484,4,1.0,0.0,4,-9.0,1,0.0,1.0,0.0,0.0,0.0,132.0,84,High,Low,High,High,Low
Hero,David Kushner,Hero,2023,206218,1,0.0,0.0,1,-8.0,1,0.0,1.0,0.0,0.0,0.0,99.0,66,Medium,Low,Low,High,Low
Hey Girl,Stephen Sanchez,Easy On My Eyes,2022,185906,4,0.0,1.0,6,-8.0,0,0.0,1.0,0.0,0.0,0.0,122.0,62,Medium,High,Low,High,Low
"Hey Mama (feat. Nicki Minaj, Bebe Rexha & Afrojack)",David Guetta,Listen (Deluxe),2015,192560,4,1.0,1.0,9,-4.0,1,0.0,0.0,0.0,0.0,1.0,86.0,62,Medium,High,High,High,Low
Hicktown,Jason Aldean,Jason Aldean,2005,306026,4,1.0,1.0,6,-4.0,1,0.0,0.0,0.0,0.0,1.0,122.0,58,Medium,High,High,High,Low
High,Stephen Sanchez,Angel Face,2023,161567,4,0.0,1.0,6,-8.0,0,0.0,0.0,0.0,0.0,0.0,176.0,75,Medium,High,Low,High,Low
Highway 20 Ride,Zac Brown Band,The Foundation,2008,229280,4,1.0,0.0,3,-7.0,1,0.0,1.0,0.0,0.0,0.0,76.0,59,Medium,Low,High,High,Low
Hips Don't Lie (feat. Wyclef Jean),Shakira,"Oral Fixation, Vol. 2 (Expanded Edition)",2006,218093,4,1.0,1.0,10,-6.0,0,0.0,0.0,0.0,0.0,1.0,100.0,87,High,High,High,High,Low
Hit Different,SZA,Hit Different,2020,202007,4,1.0,1.0,0,-6.0,0,0.0,0.0,0.0,0.0,1.0,120.0,68,Medium,High,High,High,Low
Homegrown,Zac Brown Band,JEKYLL + HYDE,2015,205000,4,1.0,1.0,6,-4.0,1,0.0,0.0,0.0,0.0,1.0,105.0,69,Medium,High,High,High,Low
Homesick,Kane Brown,Experiment Extended,2018,205400,4,1.0,1.0,8,-9.0,1,0.0,0.0,0.0,0.0,0.0,97.0,61,Medium,High,High,High,Low
Homesick,Noah Kahan,Stick Season,2023,194416,4,1.0,1.0,6,-7.0,1,0.0,0.0,0.0,0.0,0.0,170.0,73,Medium,High,High,High,Low
Hotel Key,Old Dominion,Happy Endings,2018,166573,4,1.0,1.0,11,-5.0,1,0.0,0.0,0.0,0.0,1.0,102.0,68,Medium,High,High,High,Low
How Do You Sleep?,Sam Smith,How Do You Sleep?,2019,202204,4,1.0,1.0,1,-5.0,0,0.0,0.0,0.0,0.0,0.0,166.0,67,Medium,High,High,High,Low
How Many Drinks?,Miguel,Kaleidoscope Dream,2012,272986,4,0.0,1.0,0,-7.0,0,0.0,0.0,0.0,0.0,0.0,82.0,62,Medium,High,Low,High,Low
Human,Cody Johnson,Human The Double Album,2021,221520,4,0.0,1.0,2,-7.0,1,0.0,0.0,0.0,0.0,0.0,84.0,67,Medium,High,Low,High,Low
Hurricane,Luke Combs,This One's for You,2021,222533,4,0.0,1.0,10,-6.0,1,0.0,0.0,0.0,0.0,1.0,76.0,78,Medium,High,Low,High,Low
Hurt,NewJeans,NewJeans 1st EP 'New Jeans',2023,177946,4,1.0,0.0,10,-7.0,0,0.0,1.0,0.0,0.0,1.0,180.0,73,Medium,Low,High,High,Low
Hype Boy,NewJeans,NewJeans 1st EP 'New Jeans',2022,179026,4,1.0,1.0,4,-3.0,0,0.0,0.0,0.0,0.0,1.0,100.0,79,Medium,High,High,High,Low
I Ain't Going Nowhere,Parker McCollum,I Ain't Going Nowhere,2023,204489,4,1.0,1.0,4,-5.0,1,0.0,0.0,0.0,0.0,0.0,128.0,40,Low,High,High,High,Low
I Don't Care (with Justin Bieber),Ed Sheeran,I Don't Care (with Justin Bieber),2019,219946,4,1.0,1.0,6,-5.0,1,0.0,0.0,0.0,0.0,1.0,102.0,74,Medium,High,High,High,Low
I Don't Want It At All,Kim Petras,I Don't Want It At All,2018,250615,4,1.0,1.0,6,-4.0,0,0.0,0.0,0.0,0.0,1.0,110.0,48,Low,High,High,High,Low
I Hate U,SZA,SOS,2021,173906,5,1.0,0.0,7,-9.0,0,0.0,1.0,0.0,0.0,0.0,107.0,70,Medium,Low,High,High,Low
I Like It,Cardi B,Invasion of Privacy,2018,253390,4,1.0,1.0,5,-4.0,0,0.0,0.0,0.0,0.0,1.0,136.0,77,Medium,High,High,High,Low
I Must Apologise,PinkPantheress,to hell with it,2023,108373,4,1.0,1.0,9,-6.0,1,0.0,1.0,0.0,0.0,1.0,157.0,72,Medium,High,High,High,Low
I Remember Everything (feat. Kacey Musgraves),Zach Bryan,Zach Bryan,2022,227195,4,0.0,0.0,0,-8.0,1,0.0,1.0,0.0,0.0,0.0,78.0,89,High,Low,Low,High,Low
I Want to go Home,Oliver Anthony Music,I Want to go Home,2023,170971,4,1.0,0.0,8,-13.0,1,0.0,1.0,0.0,0.0,0.0,105.0,60,Medium,Low,High,Medium,Low
I'm a Mess,Bebe Rexha,Expectations,2018,195519,4,1.0,1.0,11,-6.0,0,0.0,0.0,0.0,0.0,0.0,97.0,70,Medium,High,High,High,Low
I'm Gonna Let Her,Cole Swindell,I'm Gonna Let Her,2018,176666,4,0.0,1.0,7,-5.0,1,0.0,0.0,0.0,0.0,0.0,79.0,29,Low,High,Low,High,Low
I'm Not Pretty,Megan Moroney,Lucky,2022,181066,4,1.0,1.0,10,-6.0,1,0.0,0.0,0.0,0.0,1.0,128.0,73,Medium,High,High,High,Low
I'm Not The Only One,Sam Smith,In The Lonely Hour,2014,239316,4,1.0,0.0,5,-6.0,1,0.0,1.0,0.0,0.0,0.0,82.0,83,High,Low,High,High,Low
ICU,Coco Jones,What I Didn?t Tell You (Deluxe),2022,241624,3,1.0,0.0,8,-7.0,1,0.0,1.0,0.0,0.0,0.0,125.0,65,Medium,Low,High,High,Low
IDGAF,Dua Lipa,Dua Lipa (Deluxe),2018,217946,4,1.0,1.0,7,-6.0,1,0.0,0.0,0.0,0.0,1.0,97.0,79,Medium,High,High,High,Low
idontwannabeyouanymore,Billie Eilish,dont smile at me,2017,203569,3,0.0,0.0,7,-8.0,1,0.0,1.0,0.0,0.0,0.0,170.0,77,Medium,Low,Low,High,Low
If I Were a Boy,Beyoncï¿½,I AM...SASHA FIERCE,2008,249146,4,1.0,1.0,6,-6.0,1,0.0,0.0,0.0,0.0,0.0,90.0,64,Medium,High,High,High,Low
If She Wants a Cowboy,Zach Bryan,American Heartbreak,2023,192293,4,1.0,1.0,7,-3.0,1,0.0,0.0,0.0,0.0,1.0,134.0,63,Medium,High,High,High,Low
In Ha Mood,Ice Spice,In Ha Mood,2022,129360,4,1.0,1.0,0,-7.0,1,0.0,1.0,0.0,0.0,1.0,141.0,67,Medium,High,High,High,Low
In The Night,The Weeknd,Beauty Behind The Madness,2015,235653,3,1.0,1.0,7,-5.0,1,0.0,0.0,0.0,0.0,1.0,168.0,72,Medium,High,High,High,Low
India,Lil Durk,Signed to the Streets 2.5,2019,264862,4,1.0,1.0,1,-7.0,1,0.0,0.0,0.0,0.0,0.0,145.0,54,Medium,High,High,High,Low
Indifferent,Megan Moroney,Am I Okay?,2023,176022,3,1.0,1.0,6,-6.0,1,0.0,0.0,0.0,0.0,1.0,107.0,70,Medium,High,High,High,Low
Into You,Ariana Grande,Dangerous Woman,2016,244453,4,1.0,1.0,9,-6.0,1,0.0,0.0,0.0,0.0,0.0,108.0,71,Medium,High,High,High,Low
Iron Man,Rema,Rema,2023,201693,4,1.0,1.0,11,-4.0,0,0.0,1.0,0.0,0.0,1.0,100.0,48,Low,High,High,High,Low
Irreplaceable,Beyoncï¿½,B'Day Deluxe Edition,2006,227853,4,0.0,1.0,7,-5.0,0,0.0,0.0,0.0,0.0,1.0,176.0,69,Medium,High,Low,High,Low
"jealousy, jealousy",Olivia Rodrigo,SOUR,2021,173160,4,1.0,1.0,10,-6.0,0,0.0,0.0,0.0,0.0,1.0,164.0,82,High,High,High,High,Low
Juice,Lizzo,Cuz I Love You,2019,194935,4,1.0,1.0,0,-3.0,1,0.0,0.0,0.0,0.0,1.0,120.0,37,Low,High,High,High,Low
Juice - Breakbot Mix,Lizzo,Sunlight Dance,2019,172453,4,1.0,1.0,0,-6.0,1,0.0,0.0,0.0,0.0,1.0,120.0,0,Low,High,High,High,Low
Juicy,Doja Cat,Hot Pink,2019,203093,4,1.0,1.0,0,-3.0,1,0.0,0.0,0.0,0.0,0.0,170.0,67,Medium,High,High,High,Low
Jump Right In,Zac Brown Band,Uncaged,2013,180813,4,1.0,1.0,1,-5.0,1,0.0,0.0,0.0,0.0,1.0,104.0,58,Medium,High,High,High,Low
Just for Me,PinkPantheress,to hell with it,2022,116213,4,1.0,1.0,0,-8.0,1,0.0,1.0,0.0,0.0,1.0,133.0,64,Medium,High,High,High,Low
Kill Bill,SZA,SOS,2023,153946,4,1.0,1.0,8,-6.0,1,0.0,0.0,0.0,0.0,0.0,89.0,79,Medium,High,High,High,Low
Kiss Kiss (feat. T-Pain),Chris Brown,Exclusive (Expanded Edition),2008,250666,3,1.0,1.0,10,-3.0,0,0.0,0.0,0.0,0.0,1.0,140.0,74,Medium,High,High,High,Low
Kiss Me More (feat. SZA),Doja Cat,Planet Her,2021,208666,4,1.0,1.0,8,-3.0,1,0.0,0.0,0.0,0.0,1.0,111.0,81,High,High,High,High,Low
Kiwi,Harry Styles,Harry Styles,2017,176386,4,0.0,1.0,2,-3.0,1,0.0,0.0,0.0,0.0,0.0,147.0,69,Medium,High,Low,High,Low
Knee Deep (feat. Jimmy Buffett),Zac Brown Band,You Get What You Give,2010,203173,4,1.0,1.0,8,-8.0,1,0.0,0.0,0.0,0.0,1.0,91.0,75,Medium,High,High,High,Low
La Bebe,Yng Lvcas,LPM,2022,223992,4,1.0,0.0,7,-8.0,0,0.0,1.0,0.0,0.0,1.0,170.0,68,Medium,Low,High,High,Low
La Bebe - Remix,Yng Lvcas,La Bebe (Remix),2022,234352,4,1.0,0.0,2,-6.0,0,0.0,0.0,0.0,0.0,1.0,170.0,84,High,Low,High,High,Low
LA CANCIï¿½N,J Balvin,OASIS,2019,242573,4,1.0,1.0,7,-6.0,1,0.0,0.0,0.0,0.0,0.0,176.0,84,High,High,High,High,Low
La Tortura (feat. Alejandro Sanz),Shakira,"Fijaciï¿½n Oral, Vol. 1",2005,212893,4,1.0,1.0,0,-5.0,1,0.0,0.0,0.0,0.0,1.0,100.0,75,Medium,High,High,High,Low
Lady,Rema,Bad Commando,2023,213375,4,1.0,1.0,0,-7.0,1,0.0,0.0,0.0,0.0,1.0,120.0,42,Low,High,High,High,Low
Lay Me Down,Sam Smith,In The Lonely Hour,2015,253208,4,0.0,0.0,4,-9.0,1,0.0,1.0,0.0,0.0,0.0,119.0,70,Medium,Low,Low,High,Low
Letting Someone Go,Zach Bryan,DeAnn,2022,239761,4,1.0,0.0,0,-15.0,1,0.0,1.0,0.0,0.0,0.0,84.0,65,Medium,Low,High,Medium,Low
Levitating,Dua Lipa,Future Nostalgia,2020,203807,4,1.0,1.0,6,-2.0,0,0.0,0.0,0.0,0.0,1.0,103.0,77,Medium,High,High,High,Low
Lights Up,Harry Styles,Fine Line,2019,172213,4,1.0,1.0,10,-8.0,0,0.0,0.0,0.0,0.0,0.0,102.0,69,Medium,High,High,High,Low
Like A Cowboy,Parker McCollum,Like A Cowboy,2022,226437,3,0.0,0.0,4,-7.0,1,0.0,1.0,0.0,0.0,0.0,125.0,56,Medium,Low,Low,High,Low
Like A Thug (feat. Lil Durk),Latto,777,2023,172137,4,1.0,1.0,3,-7.0,0,0.0,0.0,0.0,0.0,1.0,145.0,36,Low,High,High,High,Low
Like I'm Gonna Lose You (feat. John Legend),Meghan Trainor,Title (Deluxe),2015,225053,3,1.0,1.0,0,-7.0,1,0.0,0.0,0.0,0.0,0.0,108.0,78,Medium,High,High,High,Low
Lips Are Movin,Meghan Trainor,Title (Deluxe),2014,182666,4,1.0,1.0,7,-5.0,1,0.0,0.0,0.0,0.0,1.0,139.0,69,Medium,High,High,High,Low
Loca (feat. El Cata),Shakira,Sale el Sol,2010,183693,4,1.0,1.0,9,-6.0,0,0.0,0.0,0.0,0.0,1.0,112.0,69,Medium,High,High,High,Low
Log in,FIFTY FIFTY,The Beginning,2023,231291,4,1.0,1.0,2,-8.0,1,0.0,0.0,0.0,0.0,0.0,132.0,28,Low,High,High,High,Low
Long Gone,Oliver Anthony Music,Long Gone,2023,142186,4,1.0,0.0,4,-11.0,1,0.0,1.0,0.0,0.0,0.0,95.0,46,Low,Low,High,Medium,Low
Long Haired Country Boy (feat. The Rockin' CJB),Cody Johnson,Ain't Nothin' to It,2023,257079,4,1.0,1.0,6,-5.0,1,0.0,0.0,0.0,0.0,1.0,89.0,53,Medium,High,High,High,Low
Lose It,Kane Brown,Experiment Extended,2018,178986,4,1.0,1.0,4,-5.0,0,0.0,0.0,0.0,0.0,0.0,92.0,60,Medium,High,High,High,Low
Lose You To Love Me,Selena Gomez,Rare,2019,206458,4,1.0,0.0,4,-9.0,1,0.0,1.0,0.0,0.0,0.0,103.0,76,Medium,Low,High,High,Low
