Track,Artist,Album,Release_Year,Duration,Time_Signature,Danceability,Energy,Track_Key,Loudness,Song_Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Popularity,Popularity_Category,Energy_Range,Danceability_Range,Loudness_Range,Liveness_Range
ATM,J. Cole,KOD,2018,216726,4,1.0,0.0,8,-8.0,1,1.0,0.0,0.0,0.0,0.0,82.0,57,Medium,Low,High,High,Low
Atta Girl,Lainey Wilson,Bell Bottom Country,2022,206693,4,1.0,1.0,11,-7.0,1,0.0,0.0,0.0,0.0,1.0,142.0,61,Medium,High,High,High,Low
Attention,NewJeans,NewJeans 1st EP 'New Jeans',2022,180066,4,1.0,1.0,10,-4.0,0,0.0,0.0,0.0,0.0,1.0,105.0,76,Medium,High,High,High,Low
B*tch From Da Souf,Latto,B*tch From Da Souf,2020,144047,4,1.0,0.0,1,-16.0,1,1.0,0.0,0.0,0.0,0.0,150.0,51,Medium,Low,High,Medium,Low
Baby Birkin,Gunna,Drip or Drown 2,2021,181948,4,1.0,1.0,2,-6.0,1,0.0,0.0,0.0,0.0,1.0,118.0,57,Medium,High,High,High,Low
Back To You - From 13 Reasons Why ? Season 2 Soundtrack,Selena Gomez,Back To You (From 13 Reasons Why ? Season 2 Soundtrack),2018,207904,4,1.0,1.0,6,-5.0,1,0.0,0.0,0.0,0.0,1.0,102.0,70,Medium,High,High,High,Low
back together,Toosii,Thank You For Believing,2023,192091,4,1.0,0.0,7,-11.0,1,0.0,0.0,0.0,0.0,0.0,170.0,32,Low,Low,High,Medium,Low
Backdoor,Lil Durk,The Voice (Deluxe),2020,200000,4,1.0,1.0,4,-8.0,0,0.0,0.0,0.0,0.0,0.0,83.0,48,Low,High,High,High,Low
Bad Blood,Taylor Swift,1989,2015,211933,4,1.0,1.0,7,-6.0,1,0.0,0.0,0.0,0.0,0.0,170.0,63,Medium,High,High,High,Low
Bad Commando,Rema,Bad Commando,2023,105002,4,1.0,1.0,1,-7.0,0,0.0,1.0,0.0,0.0,1.0,95.0,45,Low,High,High,High,Low
bad guy,Billie Eilish,"WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?",2019,194087,4,1.0,0.0,7,-11.0,1,0.0,0.0,0.0,0.0,1.0,135.0,81,High,Low,High,Medium,Low
Bad Habit,Steve Lacy,Gemini Rights,2022,232066,4,1.0,0.0,1,-7.0,1,0.0,1.0,0.0,0.0,1.0,169.0,82,High,Low,High,High,Low
Bad Habits,Ed Sheeran,=,2021,230746,4,1.0,1.0,11,-4.0,0,0.0,0.0,0.0,0.0,1.0,126.0,80,High,High,High,High,Low
Bad Liar,Selena Gomez,Bad Liar,2017,214647,4,1.0,0.0,1,-6.0,1,0.0,0.0,0.0,0.0,1.0,121.0,64,Medium,Low,High,High,Low
Bad Romance,Lady Gaga,The Fame Monster (Deluxe Edition),2009,294573,4,1.0,1.0,0,-4.0,1,0.0,0.0,0.0,0.0,1.0,119.0,83,High,High,High,High,Low
Bandolero,Yng Lvcas,Six Jewels 23,2023,190243,4,1.0,1.0,10,-8.0,0,0.0,0.0,0.0,0.0,0.0,82.0,26,Low,High,High,High,Low
